#8121254162 Attempt: 1 NumFcs=3 (FCPro - Solved)
2h 87 8c 81 2b 4a 41 a1 43 c3 
2c 2a 73 28 a2 c2 48 1c 41 b4 
64 1b c1 2c 2a 23 a3 c3 4c 4a 
42 a2 c2 6c 61 46 1a 14 b1 a1 
6b 68 14 1a b8 6b 16 a6 46 4a 
14 13 41 24 c2 5c 13 a5 65 6a 
63 a3 1a 53 56 36 35 17 65 63 
c6 2c 42 a4 2a c2 4c 24 a2 6a 
c6 2c 42 b4 6b a6 1a 16 14 21 
c2 7c 76 74 c6 b7 3c 3b 37 b7 
c7 2c 12 3b 31 b1 3b 36 b6 1b 
16 b6 5b 75 71 76 16 56 b5 8b 
81 b1 8b 84 b4 1b 14 b4 8b 21 
c2 4c 48 c8 2c 12 b1 4b 41 b1 
8b 81 b1 8b 84 b4 1b 14 18 48 
41 81 84 b1 4b 48 b8 1b 18 b8 
1b 14 b4 8b 84 b4 8b 81 b1 7b 
78 b8 4b 41 b1 7b 74 73 a3 14 
1a 17 a7 47 4a 41 a1 71 7a 74 
a4 14 1a 17 a7 47 4a 41 a1 71 
7a 74 37 a4 8a 87 a7 14 1a 18 
a8 48 4a 41 a1 81 8a 84 28 c2 
a4 5c 65 6a 67 14 a7 57 c5 2c 
82 1a 18 a8 48 4a 41 a1 81 8a 
84 a4 6a 68 63 83 a3 14 1a 18 
a8 48 4a 41 a1 81 8a 84 28 c2 
a4 5c 75 7a 73 a3 53 c5 2c 82 
14 1a 18 a8 48 4a 41 a1 81 8a 
84 18 14 a1 7a 81 28 c2 7c 76 
14 17 c6 a6 3c 3a 36 a6 c6 3c 
3a 47 41 71 74 37 14 a7 c7 2c 
82 1a 18 a8 48 4a 41 a1 81 8a 
84 a4 5a 65 68 67 14 87 57 a5 
1a 18 a8 48 4a 41 a1 81 8a 84 
a4 6a 68 63 83 a3 14 1a 18 a8 
48 4a 41 a1 81 8a 84 28 c2 a4 
5c 75 7a 73 a3 53 c5 2c 82 14 
1a 18 a8 48 4a 41 a1 81 8a 84 
18 14 a1 7a 81 28 c2 7c 76 14 
17 c6 a6 3c 3a 36 a6 c6 3c 3a 
47 41 71 74 37 14 a7 2a 82 18 
48 41 81 84 28 a2 c7 5c 65 6a 
67 14 a7 57 c5 6c 6a 63 a3 c3 
2c 82 3a 38 36 86 a6 1a 18 a8 
48 4a 41 a1 81 8a 84 a4 5a 75 
78 76 14 86 56 a5 1a 18 a8 48 
4a 41 a1 81 8a 84 a4 7a 78 73 
83 a3 14 1a 17 18 a7 47 4a 48 
41 81 84 a1 71 7a 74 38 37 a4 
14 1a 87 18 a8 48 4a 41 a1 81 
8a 84 a4 3a 38 14 a8 7a 78 a8 
1a 17 a7 47 4a 41 a1 71 7a 74 
a4 5a 65 67 68 14 78 58 a5 1a 
17 a7 47 4a 41 a1 71 7a 74 a4 
6a 67 14 a7 6a 63 a3 7a 73 a3 
1a 17 a7 47 4a 41 a1 71 7a 74 
a4 5a 85 87 83 73 53 a5 14 1a 
17 a7 47 4a 41 a1 71 7a 74 17 
14 a1 8a 71 87 14 a7 8a 86 a6 
3a 38 37 87 a7 1a 18 a8 48 4a 
41 a1 81 8a 84 a4 b8 2b 2a 28 
14 a8 3a 36 a6 c8 5c 75 7a 76 
a6 56 c5 7c 73 c3 1c 1a 17 a7 
c7 47 4c 4a 41 a1 c1 71 7c 7a 
74 a4 c4 3c 3a 37 14 a7 c7 5c 
65 6a 67 a7 57 c5 6c 6a 63 a3 
c3 5c 75 7a 73 a3 53 c5 7c 7a 
76 a6 c6 3c 3a 36 37 a6 c6 2c 
5a 65 62 67 63 52 a5 73 76 36 
3a 37 a7 67 6a 63 a3 73 7a 76 
37 36 a3 1a 73 17 36 a7 47 4a 
41 a1 71 7a 74 a4 3a 37 a7 67 
6a 63 a3 73 7a 76 a6 2a 52 53 
a3 14 1a 17 a7 47 4a 41 a1 71 
7a 74 17 14 a1 5a 71 57 14 85 
b8 7b 17 47 41 71 74 c7 14 1c 
a7 4a 41 c4 a1 3c 3a 36 14 a6 
c6 2c 2a 12 42 41 21 24 52 57 
53 a3 63 6a 65 14 a5 35 3a 36 
a6 56 5a 53 a3 63 6a 65 a5 35 
3a 36 a6 56 5a 53 a3 63 c6 27 
3c 63 6a 65 62 52 a2 c2 3c 3a 
35 36 56 a6 26 2a 25 23 a5 65 
6a 63 62 32 36 a2 52 5a 56 a6 
26 2a 25 23 53 a3 63 6a 62 65 
a2 32 3a 35 36 56 53 a6 26 c2 
3c 3a 35 a5 c5 2c 2a 25 a5 65 
6a 62 a2 52 c5 6c 6a 63 a3 c3 
2c 2a 23 a3 c3 1c 1a 12 a2 c2 
42 4c 4a 41 a1 c1 21 2c 2a 24 
a4 c4 3c 3a 32 a2 c2 5c 5a 53 
a3 23 2a 25 14 12 42 41 a5 21 
24 14 1a 12 a2 42 4a 41 a1 21 
2a 24 35 32 52 53 23 c2 1c 14 
a1 3a 23 25 a5 1a 12 a2 c2 1c 
1a b1 a1 c1 24 2c 21 c1 41 4c 
4b 4a 42 a2 b2 c2 12 1c 1b 1a 
14 a4 b4 c4 24 2c 2b 2a 21 a1 
3a 32 b1 c1 41 4c 4b 52 53 23 
25 12 35 a3 1a 14 b1 c1 14 a1 
3c 3b 3a 21 32 a2 b2 52 5b 5a 
53 a3 b3 23 2b 2a 25 14 12 42 
41 a5 21 24 14 1a 12 a2 42 4a 
41 a1 21 2a 24 b5 a4 14 1b 1a 
12 a2 b2 42 4b 4a 41 a1 b1 21 
2b 2a 24 a4 b4 14 1b 1a 12 a2 
b2 42 4b 4a 41 a1 b1 35 c3 21 
2c 2b 24 b4 c4 14 1c 1b 1a 12 
a2 b2 c2 42 4c 4b 4a 41 a1 b1 
c1 21 2c 2b 2a 24 12 a4 b4 14 
c1 3c 3b 3a 21 32 a2 b2 52 5b 
5a 53 a3 b3 23 2b 2a 25 14 12 
42 41 a5 21 24 14 1a 12 a2 42 
4a 41 a1 21 2a 24 32 35 b3 c3 
a4 6c 6b 6a 14 25 12 42 41 21 
24 62 a2 b2 c2 6c 14 1b 1a 16 
a6 b6 46 4b 4a 41 a1 b1 61 6b 
6a 64 a4 3a 36 b4 14 1b 56 53 
63 65 16 35 a3 4a 46 41 61 64 
14 b1 3b 36 56 53 a1 63 65 35 
3a 36 14 a6 56 5a 53 a3 63 6a 
65 36 35 a3 b3 2b 2a 65 16 46 
41 61 64 26 14 a6 b6 2b 3a 32 
52 53 23 25 12 42 41 21 24 35 
a3 4a 42 a2 12 1a 14 a4 24 2a 
21 42 41 a4 6a 21 62 a2 6a b6 
14 1b a6 2a 26 42 41 b4 21 3b 
32 52 53 23 25 14 12 42 41 35 
b3 a6 3b 53 5a 21 24 32 35 a3 
b3 7b 7a 14 25 12 42 41 21 24 
72 a2 b2 8b 8a 87 14 a7 27 2a 
