#3934136627 Attempt: 1 NumFcs=3 (FCPro - Solved)
2h 2a 24 21 2b 24 5c a2 52 32 
5a 57 54 b7 c7 34 3b 12 12 23 
2c 25 14 c1 15 12 a1 52 5c 2a 
25 c2 7c a2 5a 75 c5 7c 74 c4 
76 5c 54 74 45 c4 5c b5 68 6b 
76 75 a7 1a 27 37 32 72 36 13 
a3 15 4a 46 c6 7c 71 c1 21 2c 
27 c7 17 1c 12 c2 1c 72 71 21 
27 17 12 c1 72 7c 71 c1 21 2c 
27 c7 2c 23 c3 17 1c 13 c3 73 
7c 71 c1 4c 47 45 31 75 c5 3c 
37 c7 17 1c 13 c3 73 7c 71 c1 
6c 65 67 31 c5 6c 64 c4 74 68 
4c 47 c7 8c 68 62 6h 86 c8 5c 
57 c7 8c 68 56 54 64 86 c8 7c 
74 c4 8c 68 46 a4 8a c8 4c 64 
86 a8 7a 75 a5 4a 45 47 a5 8a 
68 46 76 87 a8 5a 56 a6 8a 78 
57 54 74 b7 8b 87 a7 6a 64 a4 
6a 65 a5 4a 45 46 56 54 64 65 
a4 3a 36 32 62 a2 12 1a 16 13 
63 a3 23 2a 21 26 a1 31 3a 36 
32 62 63 a2 4a 45 46 12 a5 1a 
13 a3 23 2a 21 a1 5a 56 54 31 
64 65 a4 2a 26 a6 4a 45 a5 3a 
36 a6 16 1a 13 a3 4a 41 a1 5a 
51 a1 5a 54 a4 1a 14 a4 1a 15 
a5 3a 31 a1 3a 32 61 a2 4a 45 
a5 6a 62 a2 12 1a 16 a6 4a 41 
a1 5a 51 a1 5a 54 a4 1a 14 a4 
1a 15 a5 6a 61 a1 6a 63 21 26 
a3 16 12 13 23 2a 21 a1 31 3a 
32 61 a2 4a 45 62 12 16 a5 1a 
13 a3 63 23 2a 21 26 a1 31 3a 
36 32 62 63 a2 12 1a 13 26 23 
21 31 32 12 13 62 a3 23 2a 21 
26 a1 31 3a 36 32 62 63 a2 4a 
46 12 a6 1a 13 a3 23 2a 21 a1 
31 3a 32 a2 5a 56 12 a6 1a 13 
