#2181991670 Attempt: 1 NumFcs=3 (FCPro - Solved)
32 31 1c 1b 7a b7 c7 6c 62 63 
6b 61 c1 41 61 41 12 1c 16 c6 
26 2c 21 c1 61 6c 62 c2 12 1c 
16 c6 26 2c 21 c1 61 6c 62 16 
12 c1 3c 61 36 12 c3 6c 16 26 
21 61 62 46 41 61 c6 36 3c 34 
35 b5 2b 23 b3 2b c2 62 6c b6 
3b 36 b6 1b 13 16 36 b6 2b 23 
c2 b2 3c 4b 43 b3 8b 85 45 b4 
3b 35 b5 7b 73 75 b3 4b 64 b6 
3b 35 b5 8b 53 57 37 83 84 a8 
46 4a b8 6b 64 a6 b4 2b 2a 24 
c4 b4 8c 8b a8 3a c3 3c b3 c3 
48 4c 4b 46 b6 c6 86 8c 2b 21 
38 a3 4a 41 a1 3a 83 54 58 48 
b4 5b 54 b4 8b 84 b4 2b 24 c2 
62 6c 68 61 81 c1 5c 58 21 c8 
5c 53 c3 54 7c 47 c4 8c 83 c3 
7c 78 75 85 c5 4c 48 58 54 c4 
5c 57 c7 3c 35 c5 4c 47 87 84 
74 c7 3c 38 c8 5c 58 c8 5c 58 
56 25 26 15 16 12 62 61 21 26 
51 56 16 12 15 62 65 61 25 21 
32 a3 51 5a 56 a6 16 1a 15 a5 
3a 23 b2 65 6b 61 b1 51 5b 56 
b6 7b 75 45 47 16 57 54 74 75 
45 47 74 54 57 47 45 b5 2b 12 
62 61 21 26 72 74 24 32 a3 4a 
54 57 16 15 65 61 a7 51 56 16 
1a 15 a5 65 6a 61 a1 51 5a 56 
15 16 a1 3a 23 51 16 12 15 62 
65 61 51 56 85 21 26 c2 8c 82 
c2 52 16 1c 15 c5 65 6c 61 c1 
51 5c 56 15 16 c1 2c 51 35 a3 
8a 85 a5 16 1a 18 a8 68 6a 61 
a1 81 8a 86 18 16 a1 2a 25 81 
a5 c5 16 1c 1a 18 a8 c8 68 6c 
6a 61 a1 c1 81 8c 8a 86 a6 1a 
16 18 a6 c8 68 6c 61 6a c1 2c 
62 81 a2 8a 82 a2 12 1a 18 a8 
1a 16 a6 28 2a 26 a6 86 8a 82 
a2 7a 78 62 a8 4a 47 87 84 38 
74 a7 3a 63 23 26 36 32 c3 8c 
a8 62 6a c8 2c 26 a2 c2 5c 5a 
53 a3 c3 5c 58 5a 26 25 65 62 
c8 52 56 26 2c 25 c5 65 6c 62 
c2 52 5c 56 25 26 c2 3c 52 35 
38 c5 3c 53 58 26 25 65 62 38 
52 56 26 23 25 63 65 62 35 32 
a3 52 5a 56 a6 26 2a 25 a5 2a 
21 a1 65 6a 61 62 a1 51 5a 52 
a2 12 1a 15 16 a5 25 2a 26 21 
61 62 a1 51 5a 52 a2 12 1a 15 
16 a5 3a 25 23 26 21 61 62 31 
51 53 52 32 12 15 13 16 25 23 
26 21 61 62 31 32 83 51 52 c5 
8c 85 12 c5 35 1c 13 16 c3 23 
2c 26 21 61 62 c1 31 3c 32 c2 
7c 73 12 43 47 37 34 13 23 21 
31 32 b3 12 1b 74 c7 1c 16 c6 
b6 26 2c 2b 21 b1 c1 61 6c 6b 
62 b2 1b 12 c1 5c b2 3b a3 8a 
83 21 a3 5a 53 a3 c3 8c 8a 28 
18 12 82 81 a8 c8 1c 1a 16 a6 
c6 26 2c 2a 21 a1 c1 7c 7a 72 
61 a2 42 4a 47 a7 27 2a 24 a4 
74 7a 72 a2 42 4a 47 a7 27 2a 
24 a4 74 c7 6c 6a 62 a2 c2 12 
1c 1a 16 a6 c6 26 2c 2a 21 a1 
c1 7c 7a 72 a2 42 4a 47 a7 27 
2a 24 a4 1a 12 a2 62 6a 61 a1 
21 2a 26 74 72 42 47 a6 16 1a 
27 c2 6c 61 a6 c1 4c 4a 43 a3 
c3 7c 73 7a c3 7c 74 c4 a4 87 
8c 16 1a 18 a8 68 6a 61 a1 81 
8a 86 18 16 a1 7a 81 78 a8 1a 
17 a7 2a 24 34 32 42 a4 6a 61 
71 76 16 a1 2a 42 43 47 a3 2a 
27 37 32 34 72 a7 5a 25 24 54 
12 15 65 61 51 56 85 16 21 c2 
52 1c 15 65 61 51 56 b5 16 c1 
4c 74 7b 73 b3 c3 1c 1b 17 b7 
67 6b 61 b1 71 7b 76 b6 3b 37 
16 c1 b7 4c 43 4b 73 c7 5c 45 
b5 3b 35 b5 3b 34 b4 5b 54 b4 
5b 53 b3 1b 15 65 61 51 56 35 
16 b1 4b 45 43 53 54 b3 1b 15 
65 61 51 56 35 34 74 73 53 16 
17 15 75 65 67 61 71 51 57 56 
17 16 15 65 61 b5 8b 58 51 56 
71 76 16 15 17 65 86 18 78 57 
58 78 35 37 57 45 43 73 74 c7 
34 53 3c 35 45 43 53 54 25 34 
c3 2c a2 5a b5 a5 7b 3a 37 47 
43 73 74 c7 34 a3 2c 6a 62 82 
a8 57 5a 65 61 51 25 21 51 32 
35 45 43 53 54 75 34 23 a2 52 
1a 15 a5 8a 81 51 58 c5 18 a1 
7c 1a 17 87 81 71 78 27 18 a1 
2a b2 5b a5 75 1a 17 87 81 71 
78 c7 18 a1 2c 1a 12 82 81 21 
a2 57 5a 15 21 28 b2 7b 58 a5 
2a c2 5c a5 7a c7 b7 2c 1b 12 
82 81 21 28 72 18 b1 5b a5 25 
1a 12 82 81 21 28 c2 18 a1 7c 
1a 17 87 81 71 78 c7 18 a1 2c 
1a 12 82 81 21 a2 57 5a 85 86 
56 18 16 15 65 61 85 28 21 51 
52 56 26 16 15 12 52 62 86 35 
38 48 43 83 84 78 34 53 c5 7c 
b7 5b c5 85 2c 62 68 61 81 c1 
2c 28 26 86 16 c1 3c 32 38 42 
48 43 83 84 23 24 18 12 62 61 
21 26 34 32 42 43 23 c2 16 81 
1c 18 68 61 81 86 28 24 34 32 
42 43 16 c1 23 24 34 3c 32 c2 
42 4c 43 c3 23 2c 24 32 34 c3 
5c 23 34 32 42 43 23 82 b8 2b 
24 34 32 42 b4 5b 25 42 43 53 
25 24 34 53 12 15 65 61 51 56 
b5 c5 16 21 1c 1b 12 b2 62 6b 
61 b1 21 2b 26 b6 3b 32 42 43 
23 24 16 12 62 61 21 c2 34 b3 
5c 5b c5 1c 21 26 c6 1c 12 62 
c6 5c b5 c5 7c 2b 62 61 67 b1 
2b 27 17 12 16 72 b7 8b a8 2a 
26 a6 3a 32 42 43 23 24 b2 34 
a3 58 5b 3a 35 45 43 53 54 c5 
2c b2 34 a3 6b 76 7a 71 a1 b1 
3b 3a 37 82 a7 47 4a 43 a3 73 
7a 74 a4 1a 17 34 b3 a7 6b 61 
6a 71 b7 5b c5 8c b8 5b a5 1a 
15 16 56 51 a6 3a 35 45 43 53 
54 15 34 a3 8a c8 6c 65 61 c5 
7c 71 51 57 56 76 16 c1 3c 35 
37 45 47 43 73 74 53 54 17 15 
34 c3 65 76 3c 37 47 43 73 74 
67 61 51 56 34 35 45 43 53 c5 
16 71 1c 17 67 61 71 76 37 53 
54 34 35 75 16 17 67 61 71 c7 
28 2c 12 71 76 26 17 12 62 76 
47 43 53 54 25 62 61 51 34 35 
45 43 53 75 17 21 26 76 12 17 
67 26 b2 3b 53 54 34 35 b5 6b 
61 71 76 16 b1 3b 37 b7 4b 47 
57 54 74 b7 1b 15 65 61 51 56 
35 16 b1 2b 32 52 a5 3a 35 a5 
2a 25 a5 1a 12 62 61 21 26 32 
38 16 a1 28 1a 12 62 61 21 26 
52 16 a1 3a 53 23 52 58 28 32 
38 28 13 12 62 61 21 26 a2 16 
31 1a 13 63 61 31 36 83 16 a1 
5a 85 35 a3 8a 83 a3 5a 53 85 
82 a3 8a 52 a5 2a 25 28 b2 58 
5b a8 1a 15 65 61 51 56 85 16 
a1 2a 82 52 c5 85 b8 2c 25 c5 
1c 1b 12 b2 62 6b 61 b1 21 2b 
26 b6 3b 32 b2 16 c1 3c 35 3b 
