#373139184 Attempt: 1 NumFcs=3 (FCPro - Solved)
72 57 48 42 1c 7b 75 b5 8b 8a 
84 81 a1 b1 84 5b 5a 54 a4 b4 
5b 2a 23 a3 5a 53 b3 6b 35 36 
56 53 63 65 35 36 56 53 15 b1 
8b 81 63 68 15 38 36 86 83 a8 
7a 71 63 78 71 15 17 57 51 71 
75 67 15 37 36 76 73 17 57 51 
71 75 87 81 71 63 68 67 87 68 
b6 86 6b 68 37 b8 6b 62 36 32 
62 72 76 73 63 23 27 26 76 b7 
36 3b 32 b2 62 6b 63 b3 1b 16 
15 23 65 b5 2b 26 b6 36 3b 32 
b2 62 6b 63 b3 1b 16 23 b6 1b 
13 12 81 87 32 38 b2 6b 62 b2 
3b 36 b6 86 2b 28 17 b8 2b 26 
b6 8b 86 b6 2b 28 23 83 b3 6b 
68 b8 6b 63 b3 8b 83 b3 5b 58 
53 83 b3 6b 68 62 82 b2 1b 16 
1h 48 46 86 58 51 81 35 38 31 
81 51 38 35 85 38 32 82 58 52 
82 15 18 12 82 52 18 15 85 a8 
1a b1 8b a8 5a 58 71 75 a8 15 
17 2a 21 28 a1 57 5a 25 85 82 
52 58 b5 1b 12 b2 4b 41 47 b1 
14 17 47 4b a4 2a 21 28 a1 6a 
67 a7 1a 18 a8 2a 21 a1 5a b5 
65 3b 36 b6 2b 26 b6 2b 23 b3 
1b 16 b6 2b 21 b1 3b 31 b1 3b 
32 b2 1b 12 b2 1b 13 b3 2b 23 
21 31 32 b1 7b 75 b5 1b 12 13 
b2 3b 31 b1 2b 21 b1 2b 23 b3 
1b 13 b3 1b 12 b2 6b 61 b1 3b 
32 b2 6b 62 b2 1b 12 b2 3b 31 
b1 6b 61 b1 2b 26 b6 2b 21 b1 
6b 61 b1 2b 26 b6 2b 23 b3 6b 
63 b3 1b 16 b6 1b 13 b3 6b 63 
b3 1b 16 b6 1b 12 b2 3b 31 b1 
6b 62 b2 3b 32 36 b2 1b 12 b2 
3b 31 b1 61 2b 26 b6 2b 21 b1 
6b 61 b1 2b 26 23 63 b3 1b 16 
b6 1b 13 b3 6b 63 b3 1b 16 12 
62 b2 3b 31 36 32 b1 62 1b 12 
b2 3b 36 31 61 b1 2b 26 b6 2b 
21 b1 6b 61 b1 2b 26 23 63 b3 
1b 16 b6 1b 13 b3 6b 63 b3 1b 
16 12 62 b2 3b 31 36 32 b1 62 
3b 36 b6 2b 26 b6 2b 23 b3 1b 
16 b6 2b 21 b1 3b 31 b1 3b 32 
b2 1b 12 b2 1b 13 b3 2b 23 21 
31 32 12 13 b2 3b 31 b1 2b 21 
b1 2b 23 b3 1b 13 b3 1b 12 b2 
6b 61 b1 3b 32 b2 6b 62 b2 1b 
12 b2 3b 31 b1 6b 61 b1 2b 26 
b6 2b 21 b1 6b 61 b1 2b 26 b6 
2b 23 b3 6b 63 b3 1b 16 b6 1b 
13 b3 6b 63 b3 1b 16 b6 1b 12 
b2 3b 31 b1 6b 62 b2 3b 32 36 
b2 1b 12 b2 3b 31 b1 61 2b 26 
b6 2b 21 b1 6b 61 b1 2b 26 23 
63 b3 1b 16 b6 1b 13 b3 6b 63 
b3 1b 16 12 62 b2 3b 31 36 32 
b1 62 1b 12 b2 3b 36 31 61 76 
