#206502621 Attempt: 1 NumFcs=3 (FCPro - Solved)
76 7c 1b 18 13 15 4a 42 74 71 
a1 4a 48 43 53 26 a8 1a 18 a8 
4a 43 c3 23 63 6c 64 c4 67 28 
52 2c 25 c5 26 27 3c 32 42 43 
23 24 c4 3c 32 c2 3c 35 c5 2c 
25 c5 4c 42 52 c5 6c 64 c4 a6 
4c 46 c6 b4 2c 2b 2a 52 c5 4c 
a4 b4 6b 6a 54 25 c2 6c 62 c2 
a2 b2 4c 4b 4a b4 c4 6c 7b c7 
6c a6 4a 46 a6 3a 34 a4 3a 32 
c3 1c 13 a1 4a 41 a1 2a 24 23 
43 a3 5a 54 64 65 45 46 c4 56 
a5 8c 8a 84 a4 c4 8c 8a 83 a3 
c3 4c 4a 43 a3 c3 8c 8a 78 b7 
4b a4 c4 8c 8a 87 84 a8 c8 1c 
1a 17 a7 c7 3c 3a 31 ah 3a 34 
b4 14 2b 21 b1 5b 65 6h ah 5a 
56 a6 5a 57 a7 6a 67 a7 2a 72 
b7 6b a6 1a 16 a6 5a 51 a1 7a 
27 b2 7b 72 b2 7b 71 b1 7b 75 
b5 1b 15 b5 1b 17 b7 5b 57 51 
71 75 15 17 b5 3b 31 b1 3b 36 
b6 1b 16 b6 3b 31 b1 3b 4h 25 
2c ch 38 31 5c 5a 57 52 53 58 
5h 7h 6h 3h ah 5h 2h 57 
